date, pm25, pm10, o3, no2, so2, co
2023/1/2,32.00 ,21.00 , ,27, , 
2023/1/3,55.00 ,6.00 , ,7, , 
2023/1/4,15.00 ,12.00 , ,9, , 
2023/1/5,28.00 ,7.00 , ,10, , 
2023/1/6,24.00 ,18.00 , ,14, , 
2023/1/7,39.00 ,10.00 , ,11, , 
2023/1/8,23.00 ,11.00 , ,17, , 
2023/1/9,25.00 ,6.00 , ,10, , 
2023/1/10,21.00 ,11.00 , ,12, , 
2023/1/11,26.00 ,14.00 , ,15, , 
2023/1/12,33.00 ,9.00 , ,13, , 
2023/1/13,30.00 , , , , , 
2022/10/1,37.00 ,11.00 , ,10, , 
2022/10/2,34.00 ,17.00 , ,11, , 
2022/10/3,36.00 ,19.00 , ,9, , 
2022/10/4,29.00 ,9.00 , ,4, , 
2022/10/5,20.00 ,7.00 , ,3, , 
2022/10/6,17.00 ,12.00 , ,3, , 
2022/10/7,26.00 ,7.00 , ,5, , 
2022/10/8,17.00 ,9.00 , ,5, , 
2022/10/9,22.00 ,14.00 , ,6, , 
2022/10/10,29.00 ,17.00 , ,11, , 
2022/10/11,28.00 ,20.00 , ,12, , 
2022/10/12,28.00 ,11.00 , ,4, , 
2022/10/13,26.00 ,8.00 , ,3, , 
2022/10/14,18.00 ,9.00 , ,6, , 
2022/10/15,19.00 ,8.00 , ,8, , 
2022/10/16,22.00 ,19.00 , ,17, , 
2022/10/17,35.00 ,20.00 , ,17, , 
2022/10/18,34.00 ,31.00 , ,16, , 
2022/10/19,35.00 ,33.00 , ,15, , 
2022/10/20,36.00 ,19.00 , ,10, , 
2022/10/21,25.00 ,21.00 , ,9, , 
2022/10/22,37.00 ,19.00 , ,9, , 
2022/10/23,41.00 ,9.00 , ,9, , 
2022/10/24,20.00 ,14.00 , ,11, , 
2022/10/25,30.00 ,18.00 , ,10, , 
2022/10/26,34.00 ,22.00 , ,13, , 
2022/10/27,36.00 ,20.00 , ,13, , 
2022/10/28,32.00 ,14.00 , ,8, , 
2022/10/29,26.00 ,23.00 , ,11, , 
2022/10/30,42.00 ,21.00 , ,12, , 
2022/10/31,41.00 ,16.00 , ,11, , 
2022/11/1,26.00 ,12.00 , ,6, , 
2022/11/2,24.00 ,12.00 , ,6, , 
2022/11/3,27.00 ,17.00 , ,11, , 
2022/11/4,38.00 ,10.00 , ,8, , 
2022/11/5,26.00 ,10.00 , ,10, , 
2022/11/6,25.00 ,11.00 , ,13, , 
2022/11/7,25.00 ,16.00 , ,13, , 
2022/11/8,35.00 ,14.00 , ,10, , 
2022/11/9,30.00 ,14.00 , ,12, , 
2022/11/10,31.00 ,11.00 , ,4, , 
2022/11/11,30.00 ,25.00 , ,11, , 
2022/11/12,39.00 ,19.00 , ,11, , 
2022/11/13,38.00 ,36.00 , ,12, , 
2022/11/14,39.00 ,19.00 , ,8, , 
2022/11/15,20.00 ,19.00 , ,8, , 
2022/11/16,22.00 ,23.00 , ,11, , 
2022/11/17,21.00 ,21.00 , ,8, , 
2022/11/18,24.00 ,14.00 , ,6, , 
2022/11/19,17.00 ,14.00 , ,6, , 
2022/11/20,19.00 ,25.00 , ,7, , 
2022/11/21,6.00 ,23.00 , ,10, , 
2022/11/22,30.00 ,9.00 , ,11, , 
2022/11/23,24.00 ,10.00 , ,10, , 
2022/11/24,29.00 ,13.00 , ,10, , 
2022/11/25,31.00 ,11.00 , ,8, , 
2022/11/26,33.00 ,8.00 , ,5, , 
2022/11/27,19.00 ,11.00 , ,9, , 
2022/11/28,23.00 ,18.00 , ,8, , 
2022/11/29,29.00 ,26.00 , ,10, , 
2022/11/30,35.00 ,39.00 , ,9, , 
2022/12/1,32.00 ,36.00 , ,10, , 
2022/12/2,32.00 ,24.00 , ,6, , 
2022/12/3,25.00 ,26.00 , ,9, , 
2022/12/4,26.00 ,31.00 , ,14, , 
2022/12/5,29.00 ,40.00 , ,23, , 
2022/12/6,53.00 ,34.00 , ,22, , 
2022/12/7,41.00 ,18.00 , ,19, , 
2022/12/8,37.00 , , ,13, , 
2022/12/9,40.00 , , ,14, , 
2022/12/10,46.00 , , ,13, , 
2022/12/11,38.00 ,62.00 , ,15, , 
2022/12/12,39.00 ,21.00 , ,19, , 
2022/12/13,38.00 ,19.00 , ,23, , 
2022/12/14,46.00 ,32.00 , ,28, , 
2022/12/15,73.00 ,25.00 , ,27, , 
2022/12/16,64.00 ,17.00 , ,18, , 
2022/12/17,45.00 ,31.00 , ,24, , 
2022/12/18,60.00 ,24.00 , ,19, , 
2022/12/19,39.00 ,19.00 , ,16, , 
2022/12/20,33.00 ,11.00 , ,15, , 
2022/12/21,27.00 ,13.00 , ,21, , 
2022/12/22,30.00 ,16.00 , ,23, , 
2022/12/23,41.00 ,19.00 , ,16, , 
2022/12/24,47.00 ,12.00 , ,10, , 
2022/12/25,32.00 ,7.00 , ,11, , 
2022/12/26,17.00 ,11.00 , ,17, , 
2022/12/27,28.00 ,7.00 , ,14, , 
2022/12/28,20.00 ,11.00 , ,12, , 
2022/12/29,24.00 ,8.00 , ,12, , 
2022/12/30,22.00 ,15.00 , ,8, , 
2022/12/31,39.00 ,40.00 , ,24, , 
2023/1/1,90.00 ,12.00 , ,20, , 
2022/7/1,45.00 ,8.00 , ,1, , 
2022/7/2,19.00 ,9.00 , , , , 
2022/7/3,23.00 ,8.00 , ,3, , 
2022/7/4,20.00 ,8.00 , ,3, , 
2022/7/5,15.00 ,10.00 , ,4, , 
2022/7/6,17.00 ,11.00 , ,8, , 
2022/7/7,21.00 ,12.00 , ,5, , 
2022/7/8,17.00 , , ,2, , 
2022/7/9,14.00 , , ,6, , 
2022/7/10,19.00 , , ,8, , 
2022/7/11,24.00 ,12.00 , ,6, , 
2022/7/12,30.00 ,10.00 , ,2, , 
2022/7/13,26.00 ,7.00 , ,5, , 
2022/7/14,15.00 ,7.00 , ,4, , 
2022/7/15,17.00 ,8.00 , ,3, , 
2022/7/16,20.00 ,7.00 , ,4, , 
2022/7/17,18.00 ,12.00 , ,7, , 
2022/7/18,32.00 ,11.00 , ,6, , 
2022/7/19,28.00 ,18.00 , ,5, , 
2022/7/20,45.00 ,24.00 , ,12, , 
2022/7/21,61.00 ,10.00 , ,10, , 
2022/7/22,27.00 ,6.00 , ,3, , 
2022/7/23,16.00 ,8.00 , ,1, , 
2022/7/24,19.00 ,10.00 , ,1, , 
2022/7/25,27.00 ,7.00 , ,2, , 
2022/7/26,18.00 ,8.00 , ,8, , 
2022/7/27,18.00 ,8.00 , ,5, , 
2022/7/28,20.00 ,9.00 , ,5, , 
2022/7/29,23.00 ,11.00 , ,5, , 
2022/7/30,26.00 ,12.00 , ,4, , 
2022/7/31,30.00 ,9.00 , ,8, , 
2022/8/1,21.00 ,8.00 , ,5, , 
2022/8/2,17.00 ,9.00 , ,1, , 
2022/8/3,24.00 ,10.00 , ,4, , 
2022/8/4,26.00 ,7.00 , ,6, , 
2022/8/5,15.00 ,6.00 , ,3, , 
2022/8/6,16.00 ,7.00 , ,3, , 
2022/8/7,18.00 ,8.00 , ,4, , 
2022/8/8,24.00 ,10.00 , ,1, , 
2022/8/9,25.00 ,11.00 , ,3, , 
2022/8/10,29.00 ,16.00 , ,6, , 
2022/8/11,31.00 ,14.00 , ,6, , 
2022/8/12,34.00 ,13.00 , ,5, , 
2022/8/13,30.00 ,21.00 , ,13, , 
2022/8/14,38.00 ,32.00 , ,14, , 
2022/8/15,50.00 ,17.00 , ,14, , 
2022/8/16,46.00 ,11.00 , ,2, , 
2022/8/17,35.00 ,14.00 , ,10, , 
2022/8/18,24.00 ,12.00 , ,9, , 
2022/8/19,24.00 ,11.00 , ,5, , 
2022/8/20,25.00 ,9.00 , ,4, , 
2022/8/21,22.00 ,10.00 , ,6, , 
2022/8/22,22.00 ,16.00 , ,10, , 
2022/8/23,28.00 ,24.00 , ,14, , 
2022/8/24,39.00 ,18.00 , ,10, , 
2022/8/25,34.00 ,17.00 , ,12, , 
2022/8/26,33.00 ,10.00 , ,7, , 
2022/8/27,27.00 ,9.00 , ,8, , 
2022/8/28,21.00 ,11.00 , ,9, , 
2022/8/29,16.00 ,14.00 , ,12, , 
2022/8/30,17.00 ,17.00 , ,12, , 
2022/8/31,22.00 ,17.00 , ,13, , 
2022/9/1,22.00 ,14.00 , ,13, , 
2022/9/2,24.00 ,9.00 , ,8, , 
2022/9/3,22.00 ,8.00 , ,8, , 
2022/9/4,25.00 ,11.00 , ,10, , 
2022/9/5,23.00 ,15.00 , ,9, , 
2022/9/6,26.00 ,16.00 , ,12, , 
2022/9/7,28.00 ,20.00 , ,12, , 
2022/9/8,22.00 ,16.00 , ,9, , 
2022/9/9,23.00 ,13.00 , ,8, , 
2022/9/10,29.00 ,10.00 , ,5, , 
2022/9/11,26.00 ,9.00 , ,6, , 
2022/9/12,22.00 ,10.00 , ,7, , 
2022/9/13,13.00 ,20.00 , ,12, , 
2022/9/14,25.00 ,30.00 , ,17, , 
2022/9/15,27.00 ,15.00 , ,11, , 
2022/9/16,20.00 ,15.00 , ,12, , 
2022/9/17,21.00 ,9.00 , ,7, , 
2022/9/18,18.00 ,18.00 , ,11, , 
2022/9/19,20.00 ,26.00 , ,12, , 
2022/9/20,24.00 ,22.00 , ,12, , 
2022/9/21,26.00 ,16.00 , ,11, , 
2022/9/22,27.00 ,9.00 , ,3, , 
2022/9/23,24.00 ,12.00 , ,11, , 
2022/9/24,28.00 ,8.00 , ,4, , 
2022/9/25,15.00 ,8.00 , ,10, , 
2022/9/26,18.00 ,12.00 , ,12, , 
2022/9/27,27.00 ,25.00 , ,8, , 
2022/9/28,39.00 ,20.00 , ,10, , 
2022/9/29,29.00 ,15.00 , ,11, , 
2022/9/30,26.00 ,12.00 , ,15, , 
2022/4/1,33.00 ,34.00 , ,11, , 
2022/4/2,25.00 ,24.00 , ,9, , 
2022/4/3,21.00 ,21.00 , ,12, , 
2022/4/4,15.00 ,44.00 , ,13, , 
2022/4/5,26.00 ,44.00 , ,17, , 
2022/4/6,30.00 ,44.00 , ,14, , 
2022/4/7,26.00 ,31.00 , ,9, , 
2022/4/8,24.00 ,29.00 , ,9, , 
2022/4/9,25.00 ,15.00 , ,3, , 
2022/4/10,21.00 ,27.00 , ,9, , 
2022/4/11,26.00 ,24.00 , ,12, , 
2022/4/12,25.00 ,20.00 , ,13, , 
2022/4/13,28.00 ,18.00 , ,7, , 
2022/4/14,24.00 ,22.00 , ,11, , 
2022/4/15,27.00 ,14.00 , ,6, , 
2022/4/16,25.00 ,10.00 , ,3, , 
2022/4/17,29.00 ,12.00 , ,4, , 
2022/4/18,27.00 ,36.00 , ,14, , 
2022/4/19,40.00 ,42.00 , ,16, , 
2022/4/20,36.00 ,41.00 , ,16, , 
2022/4/21,30.00 ,35.00 , ,13, , 
2022/4/22,30.00 ,18.00 , ,7, , 
2022/4/23,21.00 ,19.00 , ,7, , 
2022/4/24,22.00 ,24.00 , ,11, , 
2022/4/25,25.00 ,27.00 , ,10, , 
2022/4/26,23.00 ,23.00 , ,7, , 
2022/4/27,20.00 ,31.00 , ,13, , 
2022/4/28,27.00 ,17.00 , ,9, , 
2022/4/29,19.00 ,17.00 , ,9, , 
2022/4/30,19.00 ,16.00 , ,6, , 
2022/5/1,20.00 ,22.00 , ,9, , 
2022/5/2,21.00 ,16.00 , ,6, , 
2022/5/3,21.00 ,21.00 , ,9, , 
2022/5/4,23.00 ,17.00 , ,5, , 
2022/5/5,25.00 ,25.00 , ,9, , 
2022/5/6,31.00 , , , , , 
2022/5/8,24.00 ,16.00 , ,4, , 
2022/5/9,25.00 ,13.00 , ,6, , 
2022/5/10,31.00 ,22.00 , ,6, , 
2022/5/11,29.00 ,11.00 , ,3, , 
2022/5/12,18.00 ,13.00 , ,4, , 
2022/5/13,24.00 ,13.00 , ,3, , 
2022/5/14,18.00 ,14.00 , ,11, , 
2022/5/15,25.00 ,15.00 , ,8, , 
2022/5/16,21.00 ,12.00 , ,6, , 
2022/5/17,25.00 ,22.00 , ,10, , 
2022/5/18,31.00 ,23.00 , ,12, , 
2022/5/19,39.00 ,21.00 , ,10, , 
2022/5/20,38.00 ,9.00 , ,10, , 
2022/5/21,24.00 ,10.00 , ,5, , 
2022/5/22,27.00 ,11.00 , ,4, , 
2022/5/23,30.00 ,24.00 , ,16, , 
2022/5/24,40.00 ,9.00 , , , , 
2022/5/25,12.00 ,10.00 , ,4, , 
2022/5/26,10.00 ,20.00 , ,9, , 
2022/5/27,17.00 ,12.00 , ,6, , 
2022/5/28,15.00 ,11.00 , ,7, , 
2022/5/29,16.00 ,18.00 , ,10, , 
2022/5/30,32.00 ,21.00 , ,12, , 
2022/5/31,30.00 , , ,4, , 
2022/6/1,23.00 ,16.00 , ,6, , 
2022/6/2,28.00 ,16.00 , ,11, , 
2022/6/3,32.00 ,11.00 , ,5, , 
2022/6/4,27.00 ,11.00 , ,8, , 
2022/6/5,26.00 ,15.00 , ,8, , 
2022/6/6,30.00 ,22.00 , ,14, , 
2022/6/7,40.00 ,13.00 , ,12, , 
2022/6/8,27.00 ,14.00 , ,6, , 
2022/6/9,33.00 ,11.00 , ,4, , 
2022/6/10,32.00 ,14.00 , ,5, , 
2022/6/11,38.00 ,10.00 , ,2, , 
2022/6/12,28.00 ,11.00 , ,8, , 
2022/6/13,20.00 ,10.00 , ,6, , 
2022/6/14,20.00 ,14.00 , ,8, , 
2022/6/15,25.00 ,12.00 , ,7, , 
2022/6/16,28.00 ,12.00 , ,6, , 
2022/6/17,24.00 ,10.00 , ,2, , 
2022/6/18,27.00 ,10.00 , ,3, , 
2022/6/19,22.00 ,13.00 , ,6, , 
2022/6/20,28.00 ,14.00 , ,6, , 
2022/6/21,26.00 ,16.00 , ,8, , 
2022/6/22,26.00 ,14.00 , ,3, , 
2022/6/23,30.00 ,14.00 , ,5, , 
2022/6/24,34.00 ,21.00 , ,9, , 
2022/6/25,49.00 ,19.00 , ,11, , 
2022/6/26,59.00 ,16.00 , ,12, , 
2022/6/27,39.00 ,9.00 , ,3, , 
2022/6/28,23.00 ,13.00 , ,6, , 
2022/6/29,27.00 ,13.00 , ,9, , 
2022/6/30,29.00 ,19.00 , ,13, , 
