name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
oslo,2020-05-01,11.3,-0.2,5,11.3,-6.2,2.2,2.3,84.3,10.851,100,66.67,"rain,snow",1.4,2.8,34.4,25.5,53.4,999.8,90.5,29.5,141.1,12.1,6,,2020-05-01T05:14:24,2020-05-01T21:15:27,0.28,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"01485099999,01488099999,01492099999,D9780,01463099999,01490099999,01477099999,01384099999,E1039,01489099999"
oslo,2020-05-02,14.1,3,8.2,14.1,1.1,7.5,3.1,72.2,0.438,100,20.83,rain,3.8,2.1,32,17.6,228.4,1001,60.4,46.6,258.3,22.3,9,,2020-05-02T05:11:43,2020-05-02T21:17:55,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"01485099999,01488099999,01492099999,D9780,01490099999,01477099999,01384099999,E1039,01489099999"
oslo,2020-05-03,12.9,2.9,7.4,12.9,1,5.7,0.6,64.2,4.637,100,33.33,rain,1.7,0.8,32.4,20.7,17.2,1008.2,36.6,44.2,230.4,20,7,,2020-05-03T05:09:03,2020-05-03T21:20:23,0.39,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"01485099999,01488099999,01492099999,D9780,01490099999,01477099999,01384099999,E1039,01489099999"
oslo,2020-05-04,10.3,2.6,6.1,10.3,-2.6,2.8,-1.6,60.9,0.583,100,29.17,rain,1,2,40.4,24.9,4.5,1015.9,46.4,50.3,239.5,20.7,7,,2020-05-04T05:06:24,2020-05-04T21:22:50,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"01485099999,01492099999,D9780,01490099999,01477099999,01384099999,01489099999"
oslo,2020-05-05,12.9,2.3,7.8,12.9,-1.4,6,-3.3,46.9,0.045,100,8.33,rain,0,0.2,31.3,22.5,341.1,1020.6,29.9,52.1,267.9,22.8,8,,2020-05-05T05:03:47,2020-05-05T21:25:17,0.47,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain in the morning and afternoon.,rain,"01485099999,01488099999,01492099999,D9780,01490099999,01477099999,01384099999,E1039,01489099999"
oslo,2020-05-06,15.3,3.6,9.4,15.3,1.2,8.6,-2,46.4,0.014,100,25,rain,0,0,39.9,21.2,303.7,1016.3,31.5,35.4,263.2,22.5,8,,2020-05-06T05:01:12,2020-05-06T21:27:44,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"01485099999,01488099999,01492099999,D9780,01490099999,01477099999,01384099999,01489099999"
oslo,2020-05-07,14.1,2.7,8.3,14.1,-0.5,7.2,-1.9,49.9,0.003,100,8.33,rain,0,0,27,17,240.6,1016.3,51.2,33.4,236,20.5,7,,2020-05-07T04:58:38,2020-05-07T21:30:10,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"01485099999,01488099999,01492099999,D9780,E4699,01490099999,01477099999,01384099999,01489099999"
oslo,2020-05-08,14.5,5.4,9.9,14.5,2.7,8.9,-0.4,51,0.142,100,8.33,rain,0,0,37.7,22.8,277.6,1009.7,67.5,43.3,226.8,19.7,6,,2020-05-08T04:56:05,2020-05-08T21:32:36,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"01485099999,01488099999,01492099999,D9780,01490099999,01477099999,01384099999,01489099999"
oslo,2020-05-09,14.9,3.5,9.6,14.9,1,8.7,-1.4,47.7,0.006,100,4.17,rain,4.1,1.3,34.3,20.4,269.3,1011.6,50.6,49.4,262.9,22.7,8,,2020-05-09T04:53:35,2020-05-09T21:35:01,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"01485099999,01492099999,D9780,01490099999,01477099999,01384099999,E1039,01489099999"
oslo,2020-05-10,8.2,-1.7,3.9,7.4,-6.3,0.6,0,77.3,13.428,100,75,"rain,snow",2.4,4.6,28.7,22.7,11.6,1006.7,78.5,29.3,119.8,10.3,5,,2020-05-10T04:51:06,2020-05-10T21:37:26,0.56,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"01485099999,01469099999,01492099999,D9780,01463099999,01490099999,01477099999,01384099999,E1039,01489099999,ENGM"
